SOC,company_name,job_title,senority_level,location,zip_code,employment_type,max_salary,listed_time
47-2111,Horizon America Staffing,Electrician Mechanic,,"Irving, TX",75038,Full-time,,1713210783000
23-1011,"Allcock & Marcus, LLC",2+ years Attorney,,"Braintree, MA",02184,Full-time,,1713466100000
27-3031,"Betsy Bash, LLC",Social Media Manager,,United States,,Contract,,1713567707000
49-2094,"Bridge Analyzers, Inc.","Electronics Technician: Production, Service and Testing",,"Bedford Heights, OH",44146,Full-time,,1712855594000
43-3031,iTECH,Accounts Payable Specialist,,"San Diego, CA",92101,Full-time,28,1713208168000
41-9022,"Keller Williams Realty, Inc.",Real Estate Agent,,United States,,Full-time,,1713535667000
13-1161,Riverbend Sandler Pools,Marketing Coordinator,,"Southlake, TX",76092,Full-time,,1713459367000
13-2011,MAVAL Industries LLC,Staff Accountant,,"Twinsburg, OH",44087,Full-time,70000,1713540774000
25-2031,Bedford Stuyvesant New Beginnings Charter School,Founding High School Science Teacher,,"Brooklyn, NY",11201,Full-time,105000,1713280787000
41-4012,PETCHEFY,Field Sales Representative,,"Miami, FL",33122,Part-time,20,1712888833000
15-1232,HAPPI Health,Help Desk Analyst,,Huntsville-Decatur-Albertville Area,,Full-time,,1713211993000
19-4021,UAMS - University of Arkansas for Medical Sciences,Research Technician,,"Little Rock, AR",72201,Full-time,,1713477321000
27-2022,Angel Reach,Youth Coach,,"Conroe, TX",77301,Full-time,50000,1713457489000
29-1141,Varco Home Health & Hospice,Clinical Manager - RN,,"Houston, TX",77002,Full-time,90000,1712457740000
23-1011,"Amogha Group, INC ",Associate Attorney,,"Garden City, NY",11530,Full-time,,1713278225000
29-1171,Arms Acres,Nurse Practitioner,,"Carmel, NY",10512,Full-time,,1713539753000
11-9141,CAMS (Community Association Management Services),Community Association Manager- Portfolio,,"Morehead City, NC",28557,Full-time,55000,1712863091000
11-9179,beem Light Sauna,Wellness Associate,,"Malvern, PA",19355,Part-time,25,1712863998000
13-2011,St. James Parish Hospital,Accountant,,"Lutcher, LA",70071,Full-time,,1713556168000
13-1161,Red Krypton,Digital Marketing Intern,,United States,,Part-time,15,1713469969000
11-9111,COLORADO VETERINARY SPECIALTY GROUP,Veterinary Technician Manager,,"Littleton, CO",80120,Full-time,70000,1713389138000
15-2051,SalesPage Technologies,Resolution Analyst,,"Kalamazoo, MI",49001,Part-time,,1713279527000
13-2072,Commercial Partners of Texas,Commercial Loan Officer,,"Texas, United States",,Contract,,1712865403000
15-1232,Ascend,Product Support Specialist,,San Francisco Bay Area,,Full-time,100000,1713213147000
27-1024,EverWonder Studio,Creative Development Intern,,"Manhattan, NY",,Internship,,1713461045000
25-1121,Greenville Technical College,THEATRE Instructor for Speech Communication & Theatre Department,,"Greenville, SC",29601,Full-time,,1712857783000
27-2012,,Booking Producer,,United States,,Contract,5000,1712448968000
29-1215,POOLESVILLE FAMILY PRACTICE,Family Physician,,"Poolesville, MD",20837,Full-time,250000,1712403710000
29-1141,Northeast Georgia Health System,Registered Nurse RN - Medical ICU MICU - PT Nights,Mid-Senior level,"Gainesville, GA",30501,Part-time,,1701810533000
13-1022,Thompson-Brothers-Supply,Assistant Buyer / Receiving,,"Coffeyville, KS",67337,Full-time,,1713278101000
11-9041,,Mechanical Design Engineering Manager,Mid-Senior level,"Iowa, United States",,Full-time,160000,1713207934000
15-1211,CapAcuity,Technical Business Analyst,,"Albany, NY",12202,Contract,80000,1713467576000
11-1021,,Commercial Appraiser Manager,,"Palatka, FL",32177,Full-time,,1702050434000
15-1299,Vtechys,Senior Linux/RedHat Engineer,,United States,,Contract,,1713210642000
41-4012,Terra Forza Golf,Salesperson,,United States,,Full-time,,1712444212000
27-3043,HeyHire,Content Manager (INTERNSHIP),,"Austin, Texas Metropolitan Area",,Full-time,,1713397139000
25-2031,"Randolph School, Huntsville",Upper School Mathematics Teacher,,"Huntsville, AL",35801,Full-time,,1713207733000
13-1051,Thompson Kane Concrete,Project Estimator,,"Madison, WI",53703,Full-time,80000,1712863225000
19-3033,,Psychotherapist in Private Practice,,"New York, NY",10001,Part-time,,1712883117000
15-1252,OTB English,Artificial Intelligence Engineer Intern - Chatbot,,United States,,Volunteer,,1712894191000
25-2031,The Roxbury Latin School,Science Teacher,,"Boston, MA",02108,Full-time,,1713492154000
17-2151,Call & Nicholas,"Staff Engineer (Geotechnical, Geological or Mining)",,"Tucson, AZ",85701,Full-time,,1713467765000
31-2021,Atala Physical Therapy,Physical Therapist Tech,,"Carlsbad, CA",92008,Full-time,20,1713571385000
29-1127,,Speech Language Pathologist,,"Florida, United States",,Full-time,,1713214266000
41-9022,The Moorhead Team,Real Estate Sales Agent,,"Austin, Texas Metropolitan Area",,Full-time,400000,1712863065000
11-2033,Bend the Arc: A Jewish Partnership for Justice,Associate Director of Individual Giving,,United States,,Full-time,107000,1712349794000
11-3013,Cold Storage Recruiting,Building Maintenance Manager,,"Elizabeth, NJ",07201,Full-time,125000,1713400137000
29-1131,,Veterinarian,,"Farmington, MN",55024,Part-time,,1705371927000
33-9032,,Armed Security Guard,,"Bel Air, MD",21014,Full-time,,1713277040000
41-3011,Marsh McLennan Agency,Senior Account Executive,Mid-Senior level,"Dallas, TX",75201,Full-time,,1713459221000
41-1011,DICK'S Sporting Goods,Bench Store Manager,Mid-Senior level,"Portland, OR",97201,Full-time,,1713455296000
43-4051,SOLA Pharmaceuticals,Customer Service Specialist,,"Baton Rouge, LA",70801,Full-time,,1703184555000
13-2052,Shah Financial,Financial Advisor,,"Red Bank, NJ",07701,Full-time,125000,1713391545000
27-3031,IHC Agency ,Creative and Social Intern,,"Miami, FL",33122,Internship,,1713458844000
43-4171,PB Built,Receptionist/Data Entry,,"Jupiter, FL",33458,Full-time,,1713207320000
41-4012,Dimerco Express Group,Sales Business Development Executive,,"El Segundo, CA",90245,Full-time,,1713482734000
13-1161,Peariwinkle,Social Media Marketing Intern,,United States,,Internship,,1713450747000
41-9011,Brains & Motion Education,Brand Ambassador/Local Market Expert,,United States,,Part-time,,1712350187000
13-1082,"XACT WAREHOUSE SOLUTIONS, LLC",Project Manager,,"Austin, Texas Metropolitan Area",,Full-time,,1713215786000
19-2041,"Lawhon & Associates, Inc.",Entry-Level Ecologist,,"Columbus, Ohio Metropolitan Area",,Full-time,52000,1713293208000
15-1252,TekisHub Consulting Services ,backend Java developer,,"Austin, TX",78701,Full-time,,1713472134000
43-6011,,Personal Assistant to Controller,,"Detroit, MI",48201,Full-time,,1713454108000
13-1081,Agrex Inc.,Logistics Specialist,,"Plymouth, MN",,Full-time,,1713472867000
15-1299,"Subaru Research and Development, Inc",Cloud Platform/ Big Data Engineer,Entry level,"Michigan, United States",,Full-time,,1713553054000
17-1012,Gamble Design Collaborative,Assistant Landscape Architect,,"Franklin, TN",37064,Full-time,70000,1713208394000
11-2021,Sunsoil,VP Ecommerce,,United States,,Full-time,,1713474584000
13-1071,Duke Manufacturing Co.,Senior Staffing Specialist,,"Sedalia, MO",65301,Full-time,,1713529458000
13-1161,,Sales And Marketing Specialist,,United States,,Contract,,1712869913000
15-1252,Sovrinti,Data Science Software Engineer,,United States,,Full-time,,1704736739000
15-1243,SilverSpace Technologies Inc,Data Engineer/ETL,,"Hartford, CT",06101,Contract,,1713533813000
13-1082,PAP Consulting Services,Project Manager,,"Metro Detroit, MI",48201,Contract,105000,1713554386000
23-1011,"Sudden Wealth Protection Law, PLC",Hiring a Contract Lawyer with Probate Experience,,"Phoenix, AZ",85003,Contract,180,1713453465000
27-3043,Kessel Media Group,Email Copywriter,,United States,,Full-time,,1712881928000
13-1031,Euclid File Solutions LLC,Claim Manager,,United States,,Full-time,,1712866459000
15-1252,"Subaru Research and Development, Inc",Mobile Application Developer,Entry level,"Michigan, United States",,Full-time,,1713553504000
15-1252,Insight Global,Flight Software Engineer,Mid-Senior level,"Webster, TX",77598,Full-time,170000,1713460366000
41-3031,"Five Rings Financial, LLC",Financial Services Representative,,United States,,Contract,250000,1713457938000
15-2051,Diverse Lynx,BI Reporting Lead,,"Stamford, CT",06901,Full-time,,1713452745000
47-2111,CMD Electric,Journeyman Electrician,,San Diego Metropolitan Area,,Full-time,50,1713462389000
27-3031,MZ North America,Investor Relations Associate,,United States,,Full-time,80000,1712890507000
27-3041,Celestial Point Incorporated,Literature Review Panel Member,,United States,,Volunteer,,1712861430000
41-9021,Besen Partners,Commercial Real Estate Broker,Mid-Senior level,"New York, NY",10001,Full-time,,1713206419000
39-9031,DonQ fitness,Group Fitness Instructor,,Greater Tampa Bay Area,,Other,,1713451023000
17-2061,"Parraid, LLC",Electrical Hardware Engineer,,"Hollywood, MD",20636,Full-time,,1712857397000
13-1161,Project Hope Alliance,Marketing Intern,,"Costa Mesa, CA",92626,Full-time,,1712864332000
11-9021,Red Tail Group,Superintendent (High-End Tenant Interiors),,"Los Angeles, CA",90001,Full-time,,1713572040000
27-4031,Cage Riot,Videographer Intern,,"Los Angeles, CA",90001,Internship,,1713395314000
19-3033,INSPIRE Psychological Wellness,Contract Licensed Clinical or Counseling Psychologist,,United States,,Contract,,1713409428000
11-2021,Medical Device Innovation Consortium (MDIC),Marketing and Events Manager,,"Arlington, VA",22201,Full-time,,1712865975000
11-9111,AstraZeneca,"Senior Director, Clinical Pharmacology & Quantitative Pharmacology (CPQP)- ADC",Mid-Senior level,"Gaithersburg, MD",20877,Full-time,,1706054400000
27-3031,Prim + Co,Social Media Account Coordinator,,"Denver, CO",80202,Full-time,45000,1713211742000
15-2051,Tenazx Inc,Data Analyst,,"Queens, NY",11427,Contract,,1713465279000
13-2099,Azure Sky Management Consulting,Quantitative Researcher - Semi-Systematic Credit,,United States,,Full-time,,1706240402000
11-1021,,Dispensary Owner,,United States,,Full-time,,1712633197000
27-1011,Able&Co.,MultiMedia Art Director,,"Raleigh, NC",27601,Full-time,80000,1713209379000
41-4012,Mailprotector ,Business Development Representative,,"Greenville, SC",29601,Full-time,,1713278004000
13-1081,ShipNova,Generalist - Third-Party Logistics,,"Argyle, TX",76226,Full-time,75000,1713213484000
13-1121,"Refuge of Hope Ministries, Canton",Event Coordinator,,"Canton, OH",44702,Part-time,26,1713458688000
23-2011,Law Office of Chen & Associates Inc. æ’èŽ¹å¾‹å¸ˆäº‹åŠ¡æ‰€ ,Legal Assistant Paralegal,,"Philadelphia, PA",19102,Full-time,,1713277828000
13-1023,Massive Action Marketing,Purchasing Coordinator,,"Vancouver, WA",98660,Full-time,45,1713475543000
13-1161,SEOGidi,Search Engine Optimization Specialist,,United States,,Full-time,,1713452108000
15-1252,Northrop Grumman,Staff Software Engineer (AHT),Mid-Senior level,"Los Angeles, California, United States",,Full-time,241400,1706305637000
11-3031,Sandstone Medical Solutions ,Accounting Manager,,"Las Vegas, NV",89101,Full-time,75000,1713460324000
41-9022,Diamond Acquisitions,Investment Real Estate Sales Advisor,,"Dallas, TX",75201,Full-time,700000,1713470677000
11-1021,Key Biscayne Yacht Club,Marina Director,,"Key Biscayne, FL",33149,Full-time,,1713555390000
11-3031,City of Tempe,Deputy City Manager - Chief Financial Officer,,"Tempe, AZ",85281,Full-time,274206,1713461917000
13-1082,Wright Contracting,Project Engineer,,"Santa Rosa, CA",95401,Full-time,90000,1713208224000
49-9063,Sax Alley,Saxophone Repair Technician,,"Windsor, CO",80550,Full-time,60000,1712349585000
11-9141,Matthew 25 Cedar Rapids,Neighborhood Building Housing Leader,,"Cedar Rapids, IA",52401,Full-time,50000,1712348590000
43-5011,Thomas & Sons Distributor,Freight Broker,,"Springfield, OR",97477,Full-time,,1713466913000
13-1111,"Agilonomics, LLC",SAFe Program Consultant (SPC),,United States,,Contract,,1713571462000
15-1252,HQ,Full Stack Engineer,,"Ogden, UT",84401,Full-time,,1713406056000
11-1021,Service Minds,Branch Manager,,"Orlando, FL",32801,Full-time,90000,1713213008000
11-3031,Farmer Focus,Head of Accounting,,"Harrisonburg, VA",22801,Full-time,,1713537856000
11-9021,TechIntelli Solutions,Construction Project Manager,,"McKinney, TX",75069,Full-time,,1713460546000
41-3091,Ideal Restoration Inc,Client Solutions Manager - South Bay,,"San Jose, CA",95101,Full-time,90000,1712428478000
39-9011,Night Lights,Volunteer Child Care,,"Arvada, CO",80002,Volunteer,,1712669756000
25-3041,Sylvan Learning,Writing/Reading Tutor,,"Chaska, MN",55318,Part-time,17,1708447928000
41-2031,The Epicure,Sales Associate,,United States,,Contract,,1712367258000
23-1011,,"FL Bar Associate Attorney Tax, Trusts, and Estates",,"Sunrise, FL",,Full-time,170000,1707149755000
43-4051,,Service Specialist,,"Scarsdale, NY",10583,Full-time,,1712859453000
13-1051,Beam General Contractors,Estimator - Commercial Construction,,"Raleigh, NC",27601,Full-time,100000,1712666865000
43-5032,"Green Lines Transportation, Inc. ",Traffic Coordinator/Scheduler,,"Canton, OH",44702,Full-time,,1713554898000
41-3091,Belfort Group,Account Coordinator,,"Boston, MA",02108,Full-time,55000,1713491244000
29-1292,Skyline Smiles,Registered Dental Hygienist,,"Chicago, IL",60601,Full-time,,1713467523000
33-3051,Town of Apex,Police Officer,,"Apex, NC",27502,Full-time,73610,1713280054000
27-1021,Under Canvas Inc.,Product Designer,,"Belgrade, MT",59714,Full-time,,1713561801000
23-1011,Talent Direct Innovations,Labor And Employment Attorney,,"Palo Alto, CA",94301,Full-time,435000,1712887288000
13-2052,,Financial Planning Specialist,,United States,,Other,,1713405944000
15-1252,000,Lead Dotnet Developer,,"Atlanta, GA",30303,Full-time,,1713535286000
15-1252,TRG,Software Engineer,,"Westlake, OH",44145,Full-time,,1712346728000
11-9151,Children's Bureau of Southern California,Clinical Program Supervisor,,"Palmdale, CA",93550,Full-time,120000,1712430188000
17-2071,"LanceSoft, Inc.",Sr. Electrical Engineer,,"Richmond, KY",40475,Full-time,,1713549929000
27-3031,SanLuna LLC,Social Media Manager/Specialist,,"Phoenix, AZ",85003,Full-time,,1713555927000
29-1131,The Animal Doctors,Associate Veterinarian,,"Palo Alto, CA",94301,Full-time,,1707846063000
11-9041,RELISH,VP of Engineering,,United States,,Full-time,,1713538010000
41-9022,,Real Estate Broker Associate,,"Colorado, United States",,Full-time,,1713209644000
13-2051,Delaware Valley Regional Planning Commission,Financial Reporting Senior Specialist,,"Philadelphia, PA",19102,Full-time,85000,1707941293000
49-9099,Mango Power,Field Service Technician (Residential ESS),,United States,,Full-time,8000,1708309850000
17-2071,Fliteway Technologies,Electrical Engineering Intern,,"Cudahy, WI",53110,Full-time,20,1713456501000
41-4012,NorthWest Navigator Luxury Coaches,Sales Specialist,,"Portland, Oregon Metropolitan Area",,Full-time,,1708405363000
41-4011,Alliant Biotech,Medical Device Sales Specialist Intern,,"Grand Rapids, MI",49503,Temporary,20,1713293213000
23-1011,DIEPENBROCK & COTTER LLP,Associate Attorney,,"Sacramento, CA",95811,Full-time,,1713540505000
23-1011,Stealth,Senior Labor & Employment Attorney ,Mid-Senior level,"White Plains, NY",10601,Full-time,180000,1713388048000
41-3091,Magnolia Patio and Pool,Pool Design and Sales Representative,,"Spring, TX",77373,Full-time,,1712882200000
25-2031,Episcopal School of Acadiana,Upper/Middle School Spanish and French Teacher Episcopal School of Acadiana,,"Broussard, LA",70518,Full-time,,1712863795000
41-4012,Riteload,Sales Executive,,United States,,Full-time,400000,1712447062000
21-1014,NELCWIT (New England Learning Center for Women In Transition),Bilingual Counselor Advocate (Spanish-English),,"Greenfield, MA",01301,Full-time,,1713449633000
11-1021,Making Air Right,Service Manager,,"Germantown, MD",20874,Full-time,,1713206507000
11-2033,Homeward Bound of WNC,Resource Development Associate Director,,Greater Asheville,,Full-time,60000,1713402162000
39-5094,,Entry Level Esthetician,,"Atlanta, GA",30303,Part-time,,1713551121000
15-1252,ABHI IT SYSTEMS INC,ðŸš€ Join Our Team as a Senior iOS Developer at ABHI IT SYSTEMS INC ðŸŒ ðŸš€,,"Dallas, TX",75201,Contract,,1713551265000
27-1024,Marshall Craft Associates,Marketing Coordinator / Graphics Specialist,,"Baltimore, MD",21201,Full-time,,1713556190000
15-1255,Scenario,Technical Designer,,"Los Angeles, CA",90001,Full-time,120000,1713485999000
11-9141,"Cornerstone Property Management, CREG Inc.",Property Manager,,"San Jose, CA",95101,Full-time,85000,1712351489000
11-1021,Food Bank of Central & Eastern NC,Operations Manager,,"New Bern, NC",28560,Full-time,79321,1713555136000
13-1151,Kellton,Program Training Lead,,"Boston, MA",02108,Contract,,1713464974000
21-1022,Gold Star Gamers,Mentorship Case Manager,,"El Paso, TX",79901,Full-time,,1712454917000
17-2071,Reese Hackman,Mid-Level Project Electrical Engineer / Lighting Designer,,"Pennsylvania, United States",,Full-time,,1713469748000
17-2199,PennPak Solutions,Controls Engineer,,"Bethlehem, PA",18015,Full-time,,1713210195000
11-2022,vMOX,Head of Sales,Director,United States,,Full-time,200000,1712666826000
31-2021,Origami Rehabilitation,Physical Therapist Assistant,,"Mason, MI",48854,Full-time,,1713553111000
15-1252,,Full Stack Engineer,,"Pleasanton, CA",94566,Full-time,,1712653169000
27-1025,FranÃ§ois & Co.,"Design Consultant, Nashville, TN",,"Atlanta, GA",30303,Full-time,,1713554973000
13-2011,Brentwood Consulting Group,Senior Accountant - Non Profit,,"New York, NY",10001,Full-time,85000,1713452956000
41-4012,Chargezoom,Mid-Market Account Executive,,"Salt Lake City, UT",84101,Full-time,230000,1712863834000
29-1129,Mewsic Moves,Music Therapist,,Los Angeles Metropolitan Area,,Part-time,34,1713214953000
11-2021,Cagent Vascular,Associate Marketing Manager,,"Wayne, PA",19087,Full-time,,1713209572000
53-2011,Leviate Air Group,Pilot in Command Phenom 300,,"Teterboro, NJ",07608,Full-time,180000,1713450225000
11-2022,,"Wholesale Sales Director, Luxury Fashion Accessories Company",,"New York, NY",10001,Full-time,,1713214288000
41-3091,New Wave Recruiting,Account Executive,,"Strongsville, OH",44136,Full-time,,1712870156000
51-9161,,CNC MACHINSITS NEEDED,,"Rio Rancho, NM",87124,Full-time,,1713466311000
11-1021,,Vice President Operations,,"Waxahachie, TX",75165,Full-time,,1713403738000
15-1211,"United Business Solutions, Inc.",SAP EWM Consultant,,"Foster City, CA",96125,Full-time,,1713209704000
47-2111,FST Search,Journeyman Electrician,,"Sparrows Point, MD",21219,Full-time,50,1713407782000
17-2171,Tracts,Senior Landman,,United States,,Full-time,,1713563973000
15-1252,"Tanisha Systems, Inc",Senior Salesforce Developer,,"New York, NY",10001,Full-time,,1713389491000
43-3021,Orthopaedic Specialists of North Carolina,Revenue Cycle Specialist,,"North Carolina, United States",,Full-time,,1712881397000
25-9031,Truth Academy Dallas,Instructional Coach - Elementary,,"Dallas, TX",75201,Full-time,,1713473420000
11-3031,AdQuick,Manager - Accounts and Publishers,,"New York, United States",,Full-time,80000,1712346984000
11-1011,"Halifax Humane Society, Inc.",Chief Development Officer,,"Daytona Beach, FL",32114,Full-time,110000,1713471172000
13-2011,Oggi Talent,Senior Cost Accountant,Mid-Senior level,Greater Minneapolis-St. Paul Area,,Full-time,,1713458217000
15-2051,,Senior Data Engineer/Analyst - Full Time,,"California, United States",,Full-time,107,1709736254000
43-4051,Morgan Stanley,Registered Client Service Associate,,"New York, NY",10001,Full-time,85000,1709246989000
53-7065,RAW Equipment Building Materials Corp,Warehouse Associate,,"Queens, NY",11427,Full-time,,1713489955000
15-1254,Prepto,Frontend Engineer,,"Santa Clara, CA",95050,Full-time,,1712662529000
13-2011,McInnis Inc.,Staff Accountant,Mid-Senior level,"Milford, CT",06460,Full-time,,1712350240000
13-1071,Talentooze,Human Resources Information System Specialist,,United States,,Contract,50,1713211774000
15-1211,Global Opine Staffing,Oracle P2P Analyst,,"Tampa, FL",33602,Contract,,1713475391000
15-1211,MNK Infotech,PeopleSoft FSCM Functional Analyst - GL and KK modules,,"Houston, TX",77002,Contract,,1713462633000
25-9043,The Uncommon Thread,ABA Therapist/Special Education Paraprofessional - Various locations!,,"Stirling, NJ",07980,Full-time,27,1712860843000
15-1254,,Internet Entrepeneur,,United States,,Part-time,,1713455607000
17-2071,Mestek Machinery,Electrical Engineer,,"Cedar Rapids, IA",52401,Full-time,,1713535684000
41-9031,Swagelok Pittsburgh | Tri-State Area,Sales Engineer,,Greater Pittsburgh Region,,Full-time,,1712860933000
41-3091,"Star Logistics, Inc",Account Executive,,"Omaha, NE",68102,Full-time,55000,1712866387000
11-9141,Guardians of Unity Initiative,Real Estate Rental Manager,,"Springfield, Illinois Metropolitan Area",,Other,,1712434367000
13-1111,Benda Infotech,Junior Business Analyst,,"Chicago, IL",60601,Full-time,,1712858291000
15-1252,Redifcard Technologies LLC,Cloud / .NET Developer,,"Bloomington, MN",55796,Contract,,1712857637000
13-1199,Forest Preserves of Cook County,Stewardship Program Coordinator,,"Chicago, IL",60601,Full-time,,1713490686000
11-1021,HOTWORX,General Manager,,"Stafford, VA",22554,Full-time,,1709785644000
11-9021,Stewart's Shops Corp,Construction Project Manager,,"Ballston Spa, NY",12020,Full-time,75000,1712347782000
11-2022,"Performance Metrics, LLC",Account Manager,,"Los Angeles, CA",90001,Full-time,,1712883721000
41-3021,"Hubler Financial Services, LLC",Insurance Agent,,"Indianapolis, IN",46201,Full-time,120000,1713449224000
43-6014,Ragland & Associates LLC,Administrative Assistant/Receptionist,,"Richmond, VA",23219,Full-time,25,1713396328000
11-9021,Vibrant Humans HR Consulting,Construction Project Manager,,"Renton, WA",98055,Full-time,,1713504091000
49-3023,Harrison Ford-Clear Lake,Service Technician,,"Clear Lake, IA",50428,Full-time,40,1713451513000
29-2053,,Registered Behavior Technician ,,"Fowlerville, MI",48836,Part-time,23,1709933579000
43-6011,Ford's Theatre Society,Executive Assistant,,Washington DC-Baltimore Area,,Full-time,70000,1712350545000
29-1141,Plaxonic,Progressive Care Nurse,,"Fort Myers, FL",33900,Full-time,47,1712348721000
11-2021,Asian Americans Advancing Justice | Chicago,Campaigns Director,,"Chicago, IL",60601,Full-time,95000,1713212748000
35-2014,Tastes on the Fly,Line Cook - Mercantile Dining & Provision - DEN Airport,Entry level,"Denver, CO",80202,Full-time,,1709669704000
43-9021,MDI Imaging & Mail,Data Processor,,"Cascades, VA",24069,Full-time,65000,1713460618000
15-1255,Cyberwoven,UX/Content Strategist,,"Columbia, South Carolina Metropolitan Area",,Full-time,85000,1712862330000
13-1031,Health Care Service Corporation,Claims Technician,,"Abilene, TX",79601,Full-time,,1709743134000
15-1252,University of Maryland Baltimore County,Senior Business Application Developer,,"Catonsville, MD",21228,Full-time,,1712865942000
43-3011,HKA Enterprises,Collections Operator in Training,Entry level,"DeFuniak Springs, FL",32433,Contract,,1709683200000
15-1221,Symbolica AI,Senior Machine Learning Research Engineer,,San Francisco Bay Area,,Full-time,350000,1712669599000
11-1021,Medi-WeightlossÂ®,Operations Manager,,"Livingston, NJ",07039,Full-time,,1713470697000
15-1299,Radinnova,Senior SAP SD OTC Lead,,"Irvine, CA",92602,Contract,,1712900521000
29-1123,SilverSpace Technologies Inc,Physical Therapist,,"Lewiston, ID",83501,Full-time,,1713462918000
41-4012,Podiumwear Custom Sports Apparel,Inside Sales Representative Custom Soccer Apparel,,"St Paul, MN",55071,Full-time,40000,1712348901000
51-1011,"PACIFIC ARCHITECTURAL WOOD PRODUCTS, LLC",Pre-Finish Supervisor,,"Canby, OR",97013,Full-time,,1713463433000
43-4051,Aston Carter,Healthcare Call Center,Entry level,"Cary, NC",27511,Full-time,,1707731245000
49-2097,Crown Point Systems,Audiovisual Field Engineer,,Washington DC-Baltimore Area,,Full-time,,1710280006000
19-3099,Yolo Transportation District,Senior Transportation Planner,,"Woodland, CA",95695,Full-time,138948,1713208245000
11-9051,The Napoli Group,Restaurant Manager,,"Clayton, MO",63837,Full-time,,1713210780000
15-1232,TechTonic Solutions Hawaii,IT Support Specialist,,"Honolulu, HI",96813,Part-time,,1712861956000
27-1025,"Houston Homes, LLC",Design Center Coordinator,,"O'Fallon, MO",63366,Part-time,,1712860196000
27-3031,,Social Media Coordinator(Monitor and Engage)-Part Time,,"Florida, United States",,Part-time,63,1710186684000
41-4011,Rapid Scan 3D,3D Scanning Specialist Account Manager,,"Lakewood, CA",90712,Full-time,,1711062273000
43-5011,Tallgrass Freight Company,Freight Agent / Broker,,United States,,Full-time,,1713281336000
13-2072,"CrossCountry Mortgage, LLC",Licensed Loan Partner,,"Ellicott City, MD",21042,Full-time,50000,1712860839000
19-4099,"Spruce InfoTech, Inc","Quality process analyst | Hybrid in West Berlin, NJ",,"West Berlin, NJ",08091,Full-time,,1713534373000
11-2022,"Miracle Software Systems, Inc",Business Development Account Manager,,"Novi, MI",48374,Full-time,,1712858705000
27-2042,,Professional Singer,,"Boston, MA",02108,Temporary,,1713207515000
11-3031,NTCAâ€“The Rural Broadband Association,Accounting Manager,,"Arlington, VA",22201,Full-time,,1713208502000
43-1011,LinkW Technology Logistics Inc,Accounting Supervisor,,"Fontana, CA",92335,Full-time,7350,1713395533000
23-1011,Unity Source Group,Commercial Real Estate Attorney,,"Miami, FL",33122,Full-time,180,1713536178000
11-2021,Bad Birdie,Head of Product,,"Scottsdale, AZ",85250,Full-time,,1713482525000
11-9111,Piedmont,"Clinical Manager - Med Surg, Surgical Oncology",,"Macon, GA",31201,Full-time,,1710471194000
25-9031,National Park Trust,Education Coordinator,,"Rockville, MD",20850,Full-time,,1712347585000
15-1252,"Binary Tech Consulting Corp.,",Dotnet Developer,,"Naperville, IL",60540,Contract,,1713552313000
43-4051,Ad,Customer Service Agent,,"Dayton, OH",45400,Full-time,,1712864380000
13-1151,New Hope Treatment Centers Inc,Learning And Development Specialist,,"Rock Hill, SC",29730,Full-time,,1713537826000
11-2022,ZCC USA INC,Sales Manager of Cutting Tools,,"Cincinnati, OH",45202,Full-time,,1713206394000
11-3071,,Fleet Operations Specialist,,"Bremerton, WA",98310,Full-time,,1713397842000
43-4171,Brazilian Lumber,Bilingual Front Desk Receptionist,,"Miami, FL",33122,Full-time,3000,1712669495000
13-2052,Experior Financial Group,Licensed Financial Professional,,United States,,Part-time,,1712428615000
11-2022,9Yards Technology,Vice President of Sales,,"San Francisco, CA",94101,Full-time,,1712647745000
11-3013,Carlisle Construction Materials,Engineering And Maintenance Manager,Mid-Senior level,"Carlisle, PA",17013,Full-time,,1712346982000
41-4012,truxio,Sales Account Executive,,"Memphis, TN",38103,Full-time,,1713214273000
15-1252,NInfo Systems INC,Java full Stack Engineer,,"Phoenix, AZ",85003,Contract,,1712660310000
15-1252,SRS Consulting Inc,Full stack Azure .Net,,"Waukegan, IL",60085,Contract,,1713211111000
19-1099,University of Tehran,Researcher,,"San Diego, CA",92101,Other,,1712380769000
43-4051,DECCA LLC,Customer Service Representative,,United States,,Contract,15,1712883038000
15-1299,LionOrbit Tech Solutions LLC,DevOps Engineer,,"Vienna, VA",22180,Contract,,1713455545000
13-1071,Stealth,Talent Acquisition,,"California, United States",,Part-time,,1712633098000
41-3091,REV77,Account Executive,,"Tempe, AZ",85281,Full-time,,1713396867000
13-2082,TriTech Software & Services,Tax Preparer,,"Allen, TX",75002,Full-time,,1713449609000
31-9092,Peak Interactive Wellness,Part-Time Medical Assistant/LPN,,"Colorado, United States",,Part-time,,1713495156000
11-2033,Netzel Grigsby Associates,Major Gift Officer,,Los Angeles Metropolitan Area,,Full-time,100000,1713571320000
13-1111,Aston Carter,Strategy Manager,,"Torrance, CA",90501,Full-time,170000,1713464639000
29-2099,,Treatment Coordinator,,"Highland Park, IL",60035,Full-time,26,1713279377000
49-3023,Bmocbiz Inc. a Midas franchisee,Automotive Technician,,"Indianapolis, IN",46201,Full-time,,1712862152000
15-1211,HERMEZ-IT,"Technical Business Analyst Local to Des Moines, Iowa",,"Des Moines, IA",50307,Contract,,1713449751000
11-1021,,Program Manager,,"Nampa, ID",83651,Full-time,75000,1713396685000
